MP,Party,Intervention,votes,Written_question,Activity
Ms Diane Abbott,Labour,23,22,0,-0.16662781114024144
Debbie Abrahams,Labour,8,17,27,-0.9402133891671692
Nigel Adams,Conservative,0,23,0,0.10356530889058796
Bim Afolami,Conservative,11,23,2,0.14633419941853015
Adam Afriyie,Conservative,8,23,1,0.12494975415455906
Peter Aldous,Conservative,28,23,6,0.23187198047441443
Heidi Alexander,Labour,12,23,5,0.2104875352104434
Rushanara Ali,Labour,7,23,2,0.14633419941853015
Lucy Allan,Conservative,21,23,6,0.23187198047441443
Heidi Allen,Conservative,9,23,35,0.8520208931295759
Dr Rosena Allin-Khan,Labour,14,19,5,-0.8702849449128742
Mike Amesbury,Labour,18,22,1,-0.14524336587627035
Sir David Amess,Conservative,26,16,4,-1.7022487502693335
Stuart Andrew,Conservative,1,23,0,0.10356530889058796
Tonia Antoniazzi,Labour,13,22,13,0.11136997729138262
Edward Argar,Conservative,10,23,4,0.1891030899464723
Jonathan Ashworth,Labour (Co-op),47,22,69,1.308898912073763
Victoria Atkins,Conservative,30,23,0,0.10356530889058796
Ian Austin,Labour,16,20,110,1.6452749278349186
Mr Richard Bacon,Conservative,12,23,0,0.10356530889058796
Mrs Kemi Badenoch,Conservative,9,23,0,0.10356530889058796
Mr Adrian Bailey,Labour (Co-op),19,23,2,0.14633419941853015
Mr Steve Baker,Conservative,34,23,0,0.10356530889058796
Harriett Baldwin,Conservative,16,23,0,0.10356530889058796
Stephen Barclay,Conservative,13,23,0,0.10356530889058796
Hannah Bardell,Scottish National Party,57,19,17,-0.6136716017452213
Mr John Baron,Conservative,12,23,0,0.10356530889058796
Sir Kevin Barron,Labour,13,20,1,-0.6856296059379292
Guto Bebb,Conservative,46,23,0,0.10356530889058796
Margaret Beckett,Labour,2,22,0,-0.16662781114024144
Sir Henry Bellingham,Conservative,11,23,0,0.10356530889058796
Hilary Benn,Labour,20,19,43,-0.05767602488197321
Richard Benyon,Conservative,7,23,3,0.1677186446825012
Sir Paul Beresford,Conservative,9,23,5,0.2104875352104434
Luciana Berger,Labour (Co-op),3,18,104,0.9765820161894333
Jake Berry,Conservative,23,23,0,0.10356530889058796
Mr Clive Betts,Labour,31,16,22,-1.317328735517854
Mhairi Black,Scottish National Party,3,4,4,-4.944566190639286
Ian Blackford,Scottish National Party,48,21,10,-0.22297647853136005
Bob Blackman,Conservative,34,23,10,0.31740976153029876
Kirsty Blackman,Scottish National Party,56,21,29,0.18332798148409046
Dr Roberta Blackman-Woods,Labour,10,20,11,-0.4717851532982184
Paul Blomfield,Labour,20,22,113,2.2498145036884907
Crispin Blunt,Conservative,30,23,17,0.46710087837809633
Nick Boles,Conservative,0,15,0,-2.0579796513560473
Mr Peter Bone,Conservative,74,21,16,-0.09466980694753357
Sir Peter Bottomley,Conservative,18,23,4,0.1891030899464723
Andrew Bowie,Conservative,23,23,5,0.2104875352104434
Tracy Brabin,Labour (Co-op),29,22,76,1.4585900289215608
Ben Bradley,Conservative,8,22,0,-0.16662781114024144
Karen Bradley,Conservative,99,23,0,0.10356530889058796
Mr Ben Bradshaw,Labour,20,23,11,0.33879420679426986
Mr Graham Brady,Conservative,7,23,6,0.23187198047441443
Tom Brake,Liberal Democrat,51,16,148,1.3771113677425022
Kevin Brennan,Labour,40,21,64,0.9317835657230783
Jack Brereton,Conservative,5,23,0,0.10356530889058796
Andrew Bridgen,Conservative,24,23,7,0.2532564257383855
Steve Brine,Conservative,88,23,0,0.10356530889058796
Deidre Brock,Scottish National Party,34,19,0,-0.9772071712327297
James Brokenshire,Conservative,69,18,0,-1.2474002912635591
Alan Brown,Scottish National Party,44,21,34,0.29025020780394584
Lyn Brown,Labour,3,22,129,2.5919656279120282
Mr Nicholas Brown,Labour,0,22,0,-0.16662781114024144
Fiona Bruce,Conservative,24,23,43,1.0230964552413444
Chris Bryant,Labour,88,22,24,0.3465988751950645
Ms Karen Buck,Labour,19,23,8,0.2746408710023566
Robert Buckland,Conservative,27,23,0,0.10356530889058796
Richard Burden,Labour,11,20,19,-0.30070959118644974
Alex Burghart,Conservative,25,23,8,0.2746408710023566
Richard Burgon,Labour,6,21,39,0.39717243412380127
Conor Burns,Conservative,5,23,0,0.10356530889058796
Alistair Burt,Conservative,68,23,0,0.10356530889058796
Dawn Butler,Labour,10,19,21,-0.5281338206893369
Liam Byrne,Labour,11,17,25,-0.9829822796951114
Sir Vince Cable,Liberal Democrat,18,17,13,-1.2395956228627645
Ruth Cadbury,Labour,8,23,15,0.4243319878501542
Alun Cairns,Conservative,18,23,0,0.10356530889058796
Dr Lisa Cameron,Scottish National Party,26,21,9,-0.24436092379533114
Mr Alan Campbell,Labour,1,22,11,0.06860108676344046
Mr Gregory Campbell,Democratic Unionist Party,17,17,45,-0.5552933744156898
Mr Ronnie Campbell,Labour,2,19,0,-0.9772071712327297
Dan Carden,Labour,13,22,7,-0.016936694292443877
Mr Alistair Carmichael,Liberal Democrat,55,19,18,-0.5922871564812502
James Cartlidge,Conservative,37,23,11,0.33879420679426986
Sir William Cash,Conservative,48,23,10,0.31740976153029876
Maria Caulfield,Conservative,24,23,6,0.23187198047441443
Alex Chalk,Conservative,53,23,9,0.29602531626632766
Sarah Champion,Labour,5,22,29,0.45352110151491987
Douglas Chapman,Scottish National Party,13,21,12,-0.1802075880034179
Jenny Chapman,Labour,7,22,6,-0.038321139556414974
Bambos Charalambous,Labour,32,22,5,-0.059705584820386015
Joanna Cherry,Scottish National Party,49,20,0,-0.7070140512019003
Rehman Chishti,Conservative,11,22,4,-0.08109003008435711
Mr Christopher Chope,Conservative,9,23,26,0.6595608857538361
Jo Churchill,Conservative,24,23,13,0.38156309732221205
Colin Clark,Conservative,12,23,1,0.12494975415455906
Greg Clark,Conservative,122,23,0,0.10356530889058796
Mr Kenneth Clarke,Conservative,25,15,0,-2.0579796513560473
Mr Simon Clarke,Conservative,19,23,3,0.1677186446825012
James Cleverly,Conservative,27,23,0,0.10356530889058796
Geoffrey Clifton-Brown,Conservative,17,23,3,0.1677186446825012
Ann Clwyd,Labour,10,14,5,-2.2212505450670212
Vernon Coaker,Labour,17,22,22,0.30382998466712235
Ann Coffey,Labour,2,21,24,0.07640575516423508
Dr Thérèse Coffey,Conservative,7,23,0,0.10356530889058796
Damian Collins,Conservative,6,23,0,0.10356530889058796
Julie Cooper,Labour,10,21,18,-0.05190091641959142
Rosie Cooper,Labour,9,22,23,0.3252144299310934
Yvette Cooper,Labour,21,19,0,-0.9772071712327297
Jeremy Corbyn,Labour,61,18,0,-1.2474002912635591
Alberto Costa,Conservative,3,23,0,0.10356530889058796
Robert Courts,Conservative,50,23,1,0.12494975415455906
Ronnie Cowan,Scottish National Party,16,19,22,-0.5067493754253659
Mr Geoffrey Cox,Conservative,0,23,1,0.12494975415455906
Neil Coyle,Labour,5,23,56,1.3010942436729684
Stephen Crabb,Conservative,9,22,5,-0.059705584820386015
Sir David Crausby,Labour,1,19,26,-0.4212115943694815
Angela Crawley,Scottish National Party,12,12,20,-2.4408701061691143
Mary Creagh,Labour,10,21,37,0.35440354359585907
Stella Creasy,Labour (Co-op),29,23,12,0.36017865205824096
Tracey Crouch,Conservative,27,23,0,0.10356530889058796
Jon Cruddas,Labour,1,22,5,-0.059705584820386015
John Cryer,Labour,6,22,0,-0.16662781114024144
Judith Cummins,Labour,12,22,4,-0.08109003008435711
Alex Cunningham,Labour,25,22,60,1.1164389046980234
Mr Jim Cunningham,Labour,41,22,124,2.485043401592173
Nic Dakin,Labour,22,22,45,0.7956722257384572
Sir Edward Davey,Liberal Democrat,22,14,33,-1.622486077675831
Wayne David,Labour,27,22,10,0.047216641499469386
Chris Davies,Conservative,27,23,1,0.12494975415455906
David T. C. Davies,Conservative,11,23,11,0.33879420679426986
Geraint Davies,Labour (Co-op),19,17,1,-1.4962089660304174
Glyn Davies,Conservative,4,23,2,0.14633419941853015
Mims Davies,Conservative,53,23,10,0.31740976153029876
Philip Davies,Conservative,58,23,72,1.6432453678965058
Mr David Davis,Conservative,183,18,0,-1.2474002912635591
Martyn Day,Scottish National Party,31,21,135,2.450079179465025
Marsha De Cordova,Labour,11,22,2,-0.12385892061229925
Gloria De Piero,Labour,16,22,25,0.3679833204590356
Thangam Debbonaire,Labour,18,22,46,0.8170566710024283
Emma Dent Coad,Labour,13,17,0,-1.5175934112943885
Mr Tanmanjeet Singh Dhesi,Labour,7,21,0,-0.4368209311710709
Caroline Dinenage,Conservative,9,23,0,0.10356530889058796
Mr Jonathan Djanogly,Conservative,2,23,0,0.10356530889058796
Leo Docherty,Conservative,12,23,6,0.23187198047441443
Martin Docherty-Hughes,Scottish National Party,22,21,7,-0.28712981432327334
Anneliese Dodds,Labour (Co-op),15,22,28,0.4321366562509488
Nigel Dodds,Democratic Unionist Party,11,20,1,-0.6856296059379292
Sir Jeffrey M. Donaldson,Democratic Unionist Party,4,20,1,-0.6856296059379292
Michelle Donelan,Conservative,9,23,14,0.4029475425861831
Ms Nadine Dorries,Conservative,6,23,0,0.10356530889058796
Steve Double,Conservative,11,23,6,0.23187198047441443
Stephen Doughty,Labour (Co-op),46,23,51,1.1941720173531132
Peter Dowd,Labour,56,22,71,1.3516678026017053
Oliver Dowden,Conservative,11,23,7,0.2532564257383855
Jackie Doyle-Price,Conservative,63,23,0,0.10356530889058796
Richard Drax,Conservative,15,23,0,0.10356530889058796
Dr David Drew,Labour (Co-op),17,22,54,0.988132233114197
Jack Dromey,Labour,23,19,13,-0.6992093828011056
James Duddridge,Conservative,25,23,3,0.1677186446825012
Rosie Duffield,Labour,3,22,3,-0.10247447534832821
David Duguid,Conservative,2,23,0,0.10356530889058796
Mr Iain Duncan Smith,Conservative,23,22,0,-0.16662781114024144
Sir Alan Duncan,Conservative,69,23,0,0.10356530889058796
Mr Philip Dunne,Conservative,64,23,0,0.10356530889058796
Maria Eagle,Labour,18,21,50,0.6324013320274832
Ms Angela Eagle,Labour,8,20,13,-0.42901626277027627
Jonathan Edwards,Plaid Cymru,34,21,48,0.5896324414995411
Clive Efford,Labour,16,22,13,0.11136997729138262
Julie Elliott,Labour,1,22,12,0.08998553202741152
Michael Ellis,Conservative,12,23,0,0.10356530889058796
Mrs Louise Ellman,Labour (Co-op),12,23,12,0.36017865205824096
Mr Tobias Ellwood,Conservative,39,23,0,0.10356530889058796
Chris Elmore,Labour,19,22,21,0.28244553940315126
Charlie Elphicke,Conservative,34,23,12,0.36017865205824096
Bill Esterson,Labour,34,22,117,2.335352284744375
George Eustice,Conservative,27,23,0,0.10356530889058796
Chris Evans,Labour (Co-op),10,22,9,0.02583219623549829
Mr Nigel Evans,Conservative,18,23,22,0.5740231046979517
David Evennett,Conservative,0,23,0,0.10356530889058796
Michael Fabricant,Conservative,23,23,4,0.1891030899464723
Sir Michael Fallon,Conservative,107,23,0,0.10356530889058796
Paul Farrelly,Labour,9,23,0,0.10356530889058796
Tim Farron,Liberal Democrat,20,11,21,-2.689678780935972
Marion Fellows,Scottish National Party,18,16,16,-1.4456354071016806
Suella Fernandes,Conservative,12,23,0,0.10356530889058796
Frank Field,Labour,14,19,188,3.0430685383938334
Mark Field,Conservative,54,23,0,0.10356530889058796
Jim Fitzpatrick,Labour,12,21,51,0.6537857772914543
Colleen Fletcher,Labour,2,22,25,0.3679833204590356
Caroline Flint,Labour,10,20,28,-0.10824958381071004
Paul Flynn,Labour,44,20,30,-0.06548069328276787
Vicky Ford,Conservative,71,23,6,0.23187198047441443
Kevin Foster,Conservative,48,23,1,0.12494975415455906
Yvonne Fovargue,Labour,8,21,4,-0.35128315011518657
Dr Liam Fox,Conservative,78,23,0,0.10356530889058796
Vicky Foxcroft,Labour,12,22,18,0.21829220361123802
Mr Mark Francois,Conservative,23,23,4,0.1891030899464723
Lucy Frazer,Conservative,33,23,4,0.1891030899464723
George Freeman,Conservative,3,23,0,0.10356530889058796
Mike Freer,Conservative,0,23,0,0.10356530889058796
James Frith,Labour,9,19,0,-0.9772071712327297
Gill Furniss,Labour,8,22,28,0.4321366562509488
Mr Marcus Fysh,Conservative,22,23,1,0.12494975415455906
Hugh Gaffney,Labour,20,22,5,-0.059705584820386015
Sir Roger Gale,Conservative,16,18,4,-1.161862510207675
Mike Gapes,Labour (Co-op),31,23,9,0.29602531626632766
Barry Gardiner,Labour,25,21,0,-0.4368209311710709
Mark Garnier,Conservative,34,23,0,0.10356530889058796
Mr David Gauke,Conservative,88,23,0,0.10356530889058796
Ruth George,Labour,49,22,2,-0.12385892061229925
Stephen Gethins,Scottish National Party,14,18,192,2.858413199418888
Ms Nusrat Ghani,Conservative,45,23,3,0.1677186446825012
Nick Gibb,Conservative,68,23,0,0.10356530889058796
Patricia Gibson,Scottish National Party,34,21,5,-0.3298987048512155
Preet Kaur Gill,Labour (Co-op),5,22,0,-0.16662781114024144
Mrs Cheryl Gillan,Conservative,30,18,10,-1.0335558386238484
Paul Girvan,Democratic Unionist Party,3,20,1,-0.6856296059379292
John Glen,Conservative,45,23,0,0.10356530889058796
Mary Glindon,Labour,12,22,21,0.28244553940315126
Mr Roger Godsiff,Labour,0,17,75,0.08623998350344264
Zac Goldsmith,Conservative,17,23,40,0.9589431194494311
Helen Goodman,Labour,37,22,19,0.2396766488752091
Mr Robert Goodwill,Conservative,94,23,0,0.10356530889058796
Michael Gove,Conservative,27,23,0,0.10356530889058796
Patrick Grady,Scottish National Party,45,21,21,0.012252419372321827
Luke Graham,Conservative,29,23,6,0.23187198047441443
Richard Graham,Conservative,44,23,5,0.2104875352104434
Bill Grant,Conservative,16,23,2,0.14633419941853015
Mrs Helen Grant,Conservative,0,23,5,0.2104875352104434
Peter Grant,Scottish National Party,50,21,12,-0.1802075880034179
James Gray,Conservative,17,23,9,0.29602531626632766
Neil Gray,Scottish National Party,23,21,28,0.1619435362201194
Chris Grayling,Conservative,119,23,0,0.10356530889058796
Chris Green,Conservative,6,23,1,0.12494975415455906
Damian Green,Conservative,145,23,0,0.10356530889058796
Kate Green,Labour,43,23,88,1.985396492120043
Justine Greening,Conservative,221,22,0,-0.16662781114024144
Lilian Greenwood,Labour,27,22,33,0.5390588825708043
Margaret Greenwood,Labour,20,22,22,0.30382998466712235
Mr Dominic Grieve,Conservative,15,22,0,-0.16662781114024144
Nia Griffith,Labour,5,22,16,0.17552331308329586
Andrew Griffiths,Conservative,0,23,0,0.10356530889058796
John Grogan,Labour,25,23,18,0.4884853236420674
Andrew Gwynne,Labour,25,22,172,3.5114967742627847
Mr Sam Gyimah,Conservative,54,22,0,-0.16662781114024144
Louise Haigh,Labour,18,20,125,1.9660416067944848
Kirstene Hair,Conservative,4,23,5,0.2104875352104434
Robert Halfon,Conservative,37,23,0,0.10356530889058796
Luke Hall,Conservative,14,23,1,0.12494975415455906
Fabian Hamilton,Labour,8,22,0,-0.16662781114024144
Mr Philip Hammond,Conservative,70,18,0,-1.2474002912635591
Stephen Hammond,Conservative,24,23,34,0.8306364478656048
Matt Hancock,Conservative,62,23,0,0.10356530889058796
Greg Hands,Conservative,19,23,0,0.10356530889058796
David Hanson,Labour,55,19,134,1.888308494139395
Emma Hardy,Labour,13,22,45,0.7956722257384572
Ms Harriet Harman,Labour,8,18,39,-0.413406925968687
Mr Mark Harper,Conservative,86,23,0,0.10356530889058796
Richard Harrington,Conservative,29,23,0,0.10356530889058796
Carolyn Harris,Labour,10,22,47,0.8384411162663994
Rebecca Harris,Conservative,0,23,0,0.10356530889058796
Trudy Harrison,Conservative,9,23,6,0.23187198047441443
Simon Hart,Conservative,15,23,1,0.12494975415455906
Helen Hayes,Labour,21,22,31,0.49628999204286206
Mr John Hayes,Conservative,86,23,0,0.10356530889058796
Sue Hayman,Labour,2,22,6,-0.038321139556414974
Sir Oliver Heald,Conservative,13,23,1,0.12494975415455906
John Healey,Labour,30,22,43,0.752903335210515
James Heappey,Conservative,19,23,0,0.10356530889058796
Chris Heaton-Harris,Conservative,0,23,0,0.10356530889058796
Peter Heaton-Jones,Conservative,7,23,0,0.10356530889058796
Gordon Henderson,Conservative,7,23,0,0.10356530889058796
Mr Mark Hendrick,Labour (Co-op),7,22,42,0.7315188899465439
Drew Hendry,Scottish National Party,16,21,6,-0.30851425958724443
Mr Stephen Hepburn,Labour,5,22,31,0.49628999204286206
Nick Herbert,Conservative,7,18,0,-1.2474002912635591
Lady Hermon,Independent,41,22,37,0.6245966636266885
Mike Hill,Labour,5,22,14,0.1327544225553537
Meg Hillier,Labour (Co-op),27,23,10,0.31740976153029876
Damian Hinds,Conservative,40,23,0,0.10356530889058796
Simon Hoare,Conservative,39,23,0,0.10356530889058796
Wera Hobhouse,Liberal Democrat,33,16,6,-1.6594798597413913
Dame Margaret Hodge,Labour,1,15,10,-1.8441351987163364
Mrs Sharon Hodgson,Labour,13,22,38,0.6459811088906596
Kate Hoey,Labour,10,15,8,-1.8869040892442785
Kate Hollern,Labour,3,22,15,0.1541388678193248
George Hollingbery,Conservative,0,23,0,0.10356530889058796
Kevin Hollinrake,Conservative,54,23,2,0.14633419941853015
Mr Philip Hollobone,Conservative,59,23,13,0.38156309732221205
Adam Holloway,Conservative,0,18,2,-1.204631400735617
Kelvin Hopkins,Labour,34,20,35,0.04144153303708753
Stewart Hosie,Scottish National Party,7,18,15,-0.926633612303993
Mr George Howarth,Labour,45,8,7,-3.799640374724056
John Howell,Conservative,23,18,0,-1.2474002912635591
Mr Lindsay Hoyle,Labour,91,0,0,-6.110876451818488
Nigel Huddleston,Conservative,26,23,2,0.14633419941853015
Eddie Hughes,Conservative,18,23,0,0.10356530889058796
Mr Jeremy Hunt,Conservative,138,23,0,0.10356530889058796
Dr Rupa Huq,Labour,27,23,2,0.14633419941853015
Mr Nick Hurd,Conservative,31,23,0,0.10356530889058796
Imran Hussain,Labour,11,22,77,1.4799744741855319
Mr Alister Jack,Conservative,6,23,7,0.2532564257383855
Margot James,Conservative,127,23,0,0.10356530889058796
Christine Jardine,Liberal Democrat,11,18,1,-1.226015845999588
Dan Jarvis,Labour,14,17,77,0.12900887403138483
Sajid Javid,Conservative,197,23,0,0.10356530889058796
Mr Ranil Jayawardena,Conservative,26,23,13,0.38156309732221205
Mr Bernard Jenkin,Conservative,26,23,2,0.14633419941853015
Andrea Jenkyns,Conservative,0,12,2,-2.8257901209205936
Robert Jenrick,Conservative,36,23,0,0.10356530889058796
Boris Johnson,Conservative,74,18,0,-1.2474002912635591
Diana Johnson,Labour,66,19,108,1.332312917276147
Dr Caroline Johnson,Conservative,13,23,0,0.10356530889058796
Gareth Johnson,Conservative,5,23,0,0.10356530889058796
Joseph Johnson,Conservative,75,23,0,0.10356530889058796
Andrew Jones,Conservative,16,23,0,0.10356530889058796
Darren Jones,Labour,17,23,28,0.7023297762817782
Gerald Jones,Labour,9,22,6,-0.038321139556414974
